Carol Burnett | When you have a dream, you've got to grab it and never let go.
Audrey Hepburn | Nothing is impossible. The word itself says I'm possible!
Alexander the Great | There is nothing impossible to they who will try.
Michael Altshuler | The bad news is time flies. The good news is you're the pilot.
Nicole Kidman | Life has got all those twists and turns. You've got to hold on tight and off you go.
Walt Whitman | Keep your face always toward the sunshine, and shadows will fall behind you.
Amal Clooney | Be courageous. Challenge orthodoxy. Stand up for what you believe in. When you are in your rocking chair talking to your grandchildren many years from now, be sure you have a good story to tell.
Malala Yousafzai | You are never too old to set another goal or to dream a new dream.
Mother Teresa | Spread love everywhere you go.
 
